No,visitno,shop,info,info1,info2,info3,add,lat,lng,color,url,noimg
33,25,渚の交番,今注目のStand Up Paddle体験,25 今注目のStand Up Paddle体験,,,御前崎市御前崎1565-2,34.595891,138.226893,166796,http://www.oi-river.com/asobitaiken/taiken/25.html,./img/no/25.png
34,26,さかな大食堂　渚,新名物！焼津のマグロメガ盛り体験,26 新名物！焼津のマグロメガ盛り体験,,,焼津市八楠4-13-7,34.880302,138.303567,166796,http://www.oi-river.com/asobitaiken/taiken/26.html,./img/no/26.png
35,27,高橋染物店,ミニ大漁旗作り体験,27 ミニ大漁旗作り体験,,,焼津市小川新町1-12-10,34.858149,138.321789,166796,http://www.oi-river.com/asobitaiken/taiken/27.html,./img/no/27.png
36,28,エスパルスドリームフェリー,清水港クルーズまるごと体験,28 清水港クルーズまるごと体験,,,静岡市清水区日の出町10-80,35.009153,138.496866,166796,http://www.oi-river.com/asobitaiken/taiken/28.html,./img/no/28.png
37,29,静波リゾートホテルスウィングビーチ,静波でプチリゾート体験,29 静波でプチリゾート体験,,,牧之原市静波2228-43,34.729547,138.227275,166796,http://www.oi-river.com/asobitaiken/taiken/29.html,./img/no/29.png
38,30,島田髷まつり保存会,島田髷娘体験,30 島田髷娘体験,,,島田市本通1-1-15,34.833125,138.172916,9a6697,http://www.oi-river.com/asobitaiken/taiken/30.html,./img/no/30.png
39,31,遠州掛川　鎧屋,なりきり！掛川よろい扮装体験,31 なりきり！掛川よろい扮装体験,,,掛川市城下3-2,34.77398,138.01495,9a6697,http://www.oi-river.com/asobitaiken/taiken/31.html,./img/no/31.png
40,32,丁子屋,江戸時代から評判のとろろ汁体験,32 江戸時代から評判のとろろ汁体験,,,静岡市駿河区丸子7-10-10,34.95028,138.33814,9a6697,http://www.oi-river.com/asobitaiken/taiken/32.html,./img/no/32.png
41,33,体験工房　駿府匠宿,駿河の伝統工芸体験（竹千筋細工または和染め）,33 駿河の伝統工芸体験（竹千筋細工または和染め）,,,静岡市駿河区丸子3240-1,34.95351,138.33389,9a6697,http://www.oi-river.com/asobitaiken/taiken/33.html,./img/no/33.png
42,34,日本平ロープウェイ,ロープウェイで行く　家康公墓参り体験,34 ロープウェイで行く　家康公墓参り体験,,,静岡市清水区草薙597-8,34.97359,138.46381,9a6697,http://www.oi-river.com/asobitaiken/taiken/34.html,./img/no/34.png
